@id,@lon,@lat,name
172304715,21.4422952,42.0043855,
172304716,21.4419411,42.0047898,
172304718,21.4416042,42.0050484,
172304720,21.4414790,42.0051954,
172305971,21.4414137,42.0055775,
172306443,21.4413406,42.0056781,
172307990,21.4409894,42.0049574,
172307992,21.4408743,42.0048451,
172315403,21.4514374,41.9881187,
172315698,21.4512455,41.9880250,
172316023,21.4517273,41.9880480,
172334473,21.4341576,42.0034094,
172334475,21.4335570,42.0051545,
172334476,21.4333548,42.0056420,
172334478,21.4330190,42.0063194,
172334480,21.4326712,42.0066397,
172347398,21.4170827,42.0058715,
172347400,21.4177282,42.0057661,
172347401,21.4177475,42.0057873,
172347404,21.4175240,42.0060253,
172347406,21.4173178,42.0061292,
172347408,21.4171464,42.0059414,
172348137,21.4174425,42.0057090,Природонаучен Музеј
173341168,21.4166340,41.9990807,
173341169,21.4167312,41.9992598,
173342515,21.4162222,41.9992130,
176735794,21.4064542,41.9996054,
206121905,21.4159421,41.9977724,
206121906,21.4161155,41.9980836,
206121907,21.4162851,41.9970919,
206121908,21.4157477,41.9970675,
206121909,21.4157454,41.9971111,
206121910,21.4157546,41.9971709,
287495829,21.4109279,42.0051961,
287495833,21.4168544,42.0033681,
287495834,21.4186032,42.0027786,
287495835,21.4194985,42.0023716,
287495837,21.4215680,42.0015510,
287495840,21.4257048,42.0001271,
287495891,21.4100005,42.0014656,
287495938,21.4006512,41.9940439,
287495939,21.3992770,41.9942318,
287495942,21.3936648,41.9954062,
287495950,21.3954495,41.9948037,
287496083,21.4158245,42.0007245,
287496085,21.4174523,42.0000104,
287496086,21.4162736,42.0009822,
287496104,21.4177647,42.0003733,
287496129,21.4175421,42.0013972,
287496130,21.4171333,42.0014249,
287496131,21.4167185,42.0012500,
287496135,21.4189447,42.0017080,
287496137,21.4182009,42.0008408,
287496146,21.4178081,42.0022527,
287496147,21.4181202,42.0021212,
287496151,21.4154088,42.0023005,
289140430,21.3950027,42.0012122,
289140641,21.4013361,42.0022170,
293004365,21.4183664,42.0123570,
293004368,21.4176204,42.0126226,
293004369,21.4169421,42.0127687,
293004370,21.4162419,42.0128049,
293004372,21.4155228,42.0127644,
293004373,21.4147595,42.0125977,
293004374,21.4139869,42.0122967,
293004375,21.4132371,42.0118039,
293004377,21.4126103,42.0114187,
293004378,21.4117686,42.0110972,
293004379,21.4108956,42.0109472,
293004380,21.4101380,42.0109238,
293004381,21.4092078,42.0110409,
293004383,21.4081669,42.0113451,
293004384,21.4075036,42.0115447,
293004385,21.4065303,42.0118368,
293663059,21.4054560,42.0121710,
293663060,21.4047163,42.0124012,
293663061,21.4041221,42.0125404,
293663062,21.4033147,42.0126326,
293663063,21.4025787,42.0126258,
293663064,21.4016238,42.0124883,
293663065,21.4008712,42.0122742,
293663066,21.4000360,42.0119143,
293663067,21.3995038,42.0115955,
293663068,21.3988237,42.0111056,
293663069,21.3981113,42.0105623,
293663070,21.3975672,42.0101937,
293663071,21.3967631,42.0098158,
293663072,21.3962063,42.0096392,
293663073,21.3960237,42.0095956,
293663074,21.3953329,42.0095673,
293663075,21.3951116,42.0095112,
293663076,21.3948746,42.0094521,
293663077,21.3947265,42.0094254,
293663078,21.3943357,42.0094267,
293663079,21.3937905,42.0094695,
293663080,21.3933173,42.0095434,
293663081,21.3923734,42.0097935,
293663082,21.3899991,42.0104954,
293663083,21.3895823,42.0106525,
293663084,21.3890520,42.0109174,
293663085,21.3881059,42.0114742,
293663086,21.3872711,42.0119555,
293663087,21.3866362,42.0122231,
293663088,21.3861231,42.0123418,
293663089,21.3854850,42.0123984,
293663090,21.3849611,42.0123648,
293663091,21.3846416,42.0123126,
293663092,21.3843097,42.0122254,
293663093,21.3837033,42.0119871,
293663094,21.3833433,42.0117421,
293663095,21.3829389,42.0113733,
293663096,21.3826497,42.0109556,
293663097,21.3824071,42.0103511,
293663098,21.3818274,42.0088781,
293663100,21.3811201,42.0074919,
293900329,21.3953742,42.0023431,
293900357,21.3924123,42.0027614,
293900358,21.4011908,42.0016200,
293900366,21.3931904,42.0058534,
293900645,21.4013656,42.0023411,
293900673,21.3929616,42.0049175,
293900706,21.3985978,42.0041571,
293900784,21.3988155,42.0050675,
303018096,21.4081201,41.9993790,
303018097,21.4083803,42.0004511,
303018220,21.4116202,42.0000064,
303018643,21.4114909,41.9994764,
307971403,21.4227816,42.0005078,
307971406,21.4232629,42.0005416,
307971497,21.4226844,42.0015519,
307971664,21.4235800,42.0011138,
309853576,21.3947321,42.0001401,
309853579,21.3932184,42.0003871,
309867133,21.4015802,42.0026370,
309867134,21.4017860,42.0034735,
309867135,21.4035294,42.0032367,
309867137,21.4032885,42.0022577,
309867277,21.4028441,42.0067942,
309867278,21.4023654,42.0048272,
309867279,21.4048626,42.0047728,
309867280,21.4044405,42.0061960,
309874754,21.3930024,41.9986357,
309874864,21.4262565,41.9918929,
309874865,21.4279970,41.9910892,
309874866,21.4280866,41.9916422,
309874867,21.4265757,41.9922685,
309875263,21.4352739,41.9939018,
309875265,21.4353054,41.9938330,
309875266,21.4359660,41.9940360,
309875267,21.4353646,41.9942183,
309875316,21.4354569,41.9945625,
309875317,21.4355890,41.9948060,
309875518,21.4332428,41.9957850,
309875525,21.4332298,41.9943465,
309875526,21.4348924,41.9938522,
309875533,21.4353259,41.9945833,
309875534,21.4355937,41.9950681,Ирски паб Св. Патрик
309875592,21.4319645,41.9957089,
309875594,21.4322319,41.9958838,
309875595,21.4326101,41.9957941,
309875596,21.4325154,41.9956412,
309879651,21.4266878,41.9919017,Рамстор
309880604,21.3973958,42.0052120,
309880605,21.3971974,42.0044373,
309880606,21.3985162,42.0042868,
309881391,21.4001835,42.0038552,
309881393,21.4009810,42.0038110,
309882919,21.4035281,42.0023114,
309882920,21.4041369,42.0022411,
309882923,21.4043133,42.0023905,
309882925,21.4044690,42.0029677,
309882987,21.4043546,42.0025441,
309882988,21.4041928,42.0024732,
309883003,21.4035343,42.0021130,
309883004,21.4035167,42.0023010,
309883017,21.4033121,42.0021977,
309883889,21.4109819,41.9927229,
309883890,21.4115513,41.9922035,
309883892,21.4117856,41.9919913,
309883957,21.4168828,41.9879546,
309884027,21.4122201,41.9913782,
309884028,21.4122939,41.9912171,
309884029,21.4123031,41.9911249,
309884030,21.4122372,41.9910783,
309884031,21.4121342,41.9911294,
309884032,21.4120285,41.9912720,
309884033,21.4119318,41.9913925,
309884034,21.4118177,41.9914916,
309884035,21.4116512,41.9915692,
309884036,21.4115707,41.9915752,
309884037,21.4114285,41.9915241,
309884740,21.4095989,41.9923117,
309884741,21.4076774,41.9922614,
309884743,21.4075509,41.9921628,
309884745,21.4075815,41.9908935,
309884746,21.4075536,41.9908075,
309884747,21.4074413,41.9907597,
309884748,21.4073255,41.9907403,
309884749,21.4071684,41.9906612,
309884750,21.4072498,41.9905402,
309884751,21.4074434,41.9903199,
309887671,21.4077316,41.9959284,
309887714,21.4071816,41.9965464,
309887715,21.4071960,41.9966835,
309887744,21.4059374,41.9969865,
309887803,21.4071635,41.9968229,
309887950,21.4060445,41.9974964,
309887963,21.4076119,41.9972845,
309888579,21.4260478,41.9909331,
309888768,21.4177726,41.9863569,
309888772,21.4171899,41.9863523,
309888773,21.4168614,41.9863778,
309888774,21.4165532,41.9864609,
309888775,21.4161092,41.9866304,
309888776,21.4158770,41.9867994,
309888777,21.4155902,41.9870383,
309888778,21.4154148,41.9872853,
309888779,21.4153129,41.9875365,
309888780,21.4152772,41.9877374,
309888781,21.4153111,41.9878579,
309888841,21.4150728,41.9877601,
309888842,21.4149205,41.9877068,
309888843,21.4147521,41.9876461,
309888844,21.4145061,41.9875289,
309888845,21.4115708,41.9864677,
309891915,21.4077580,42.0020228,
309892088,21.4058279,42.0052669,
309892089,21.4056171,42.0044248,
309892091,21.4064556,42.0051802,
309892538,21.4144577,42.0071867,
309892543,21.4152345,42.0086910,
309892551,21.4189230,42.0049084,
309892552,21.4177879,42.0055109,
309892553,21.4179459,42.0056827,
309892554,21.4174298,42.0059222,
309894643,21.4315704,41.9953933,Пелистер
309894782,21.4326808,41.9931869,
309894783,21.4331152,41.9926490,
309894784,21.4323444,41.9923017,
309894785,21.4318011,41.9925609,
309894786,21.4321571,41.9930119,
309895665,21.4234739,41.9974438,
309895774,21.4189342,42.0005913,
309895776,21.4191899,42.0005287,
309895778,21.4193877,42.0005601,
309895782,21.4201875,42.0010419,
309895784,21.4211406,42.0015717,
309895815,21.4226834,41.9990633,
309896016,21.4219328,42.0006209,
309896041,21.4209897,42.0002547,
309896043,21.4216312,42.0005986,
309896051,21.4213210,42.0004315,
309896057,21.4245110,42.0003754,
309896065,21.4239012,41.9998457,
309896330,21.4204536,42.0008224,
309896331,21.4209354,42.0003165,
309896332,21.4203261,42.0000004,
309896333,21.4193706,42.0002128,
309896335,21.4194740,42.0005146,
309896425,21.4237519,42.0028188,
309896432,21.4276330,42.0002467,
309896495,21.4275489,42.0010247,
309896703,21.4245466,42.0036668,
309896736,21.4251861,42.0045529,
309896743,21.4212319,42.0070647,
309896777,21.4219305,42.0066511,
309896889,21.4279203,42.0050723,
309896890,21.4265559,42.0036133,
309897524,21.4279322,42.0037999,
309899372,21.3839355,42.0126363,
309925442,21.4154557,41.9943313,
309928190,21.4174659,41.9940883,
309928547,21.3922802,41.9971386,
309928550,21.3893542,41.9971891,
309928553,21.3842262,41.9979067,
309929988,21.3925001,41.9998564,
309929997,21.3945864,41.9995656,
309956197,21.4329258,42.0083170,
309961201,21.4535634,41.9972475,
309961202,21.4528747,41.9972206,
309961203,21.4528446,41.9968651,
309961207,21.4508058,41.9968727,
309961209,21.4507830,41.9971922,
309961210,21.4508774,41.9972011,
309961211,21.4508822,41.9974960,
309961212,21.4512615,41.9982822,
309961213,21.4513779,41.9982785,
309961214,21.4513852,41.9984276,
310289760,21.4167030,42.0001541,Broz Cafe
310291590,21.4369637,42.0007717,
310292882,21.4279355,41.9909412,
310292917,21.4285215,41.9916085,
310293422,21.4266043,41.9847000,
310348362,21.3959586,42.0041706,Македонска Пошта
